,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Value,Length
237,Tolstoy,Отрочество,0.8821678640993479,0.0002850842133588,Толстой,3.994,0.1799844840961986,147250
238,Tolstoy,Поликуша,0.8914456872122545,0.0002316563003113,Толстой,4.322,0.1232777374909354,106366
239,Tolstoy,После бала,0.853697609270162,0.0002135741701709,Толстой,3.944,0.055,18834
240,Tolstoy,Праведный судья,0.8141694712780101,8.217936923309226e-05,Толстой,4.125,0.0131578947368421,4891
241,Tolstoy,Работник Емельян и пустой барабан,0.8451956267313208,0.0001003095817787,Толстой,3.833,0.0447154471544715,13423
242,Tolstoy,Разжалованный,0.8733355789701536,0.0002261345945808,Толстой,4.247,0.1583333333333333,49915
243,Tolstoy,Рубка леса,0.9001841375601073,0.0002736997457856,Толстой,3.721,0.13875,69084
244,Tolstoy,Севастополь в августе 1855 года,0.8993312458959257,0.0002585776478581,Толстой,3.983,0.2016871165644172,120473
245,Tolstoy,Севастополь в декабре месяце,0.8923363699119384,0.0002351378895355,Толстой,3.896,0.067193675889328,30917
246,Tolstoy,Севастополь в мае,0.8962497516193285,0.000242875838811,Толстой,3.983,0.1329479768786127,85974
247,Tolstoy,Семейное счастье,0.8301201000803886,0.0002039211192937,Толстой,3.994,0.1560597675705589,165129
248,Tolstoy,Смерть Ивана Ильича,0.8630874045375182,0.0001861109081941,Толстой,4.42,0.1492537313432835,109000
249,Tolstoy,Три смерти,0.8987437772782274,0.0002476595449457,Толстой,3.731,0.1327433628318584,23645
250,Tolstoy,Утро пемещика,0.898106115255204,0.0002553432092292,Толстой,3.998,0.1477064220183486,98924
